year,variableA,variableB,variableC,variableD,variableE,variableF,variableG,variableH
2007,2624,1700,1098,1047,931,901,685,514
2008,3135,2014,1344,1206,1014,1118,832,714
2009,2535,1861,1124,986,1024,950,732,634
2010,2360,1712,1039,903,1055,826,701,631
2011,2261,1706,1032,909,1024,868,782,714
2012,2130,1668,969,868,1010,857,788,699
2013,1890,1580,883,819,963,821,768,784
2014,1902,1677,905,832,977,829,825,766
2015,1912,1620,889,858,954,891,864,938
2016,1787,1598,827,684,872,926,754,776
2017,1379,1194,694,590,595,748,636,626
